ite,time,q,scaled_eu,z,solver,attacker,|Q|,|X|,|T|,rho,k,utility_time,RS_iters,mcts_iters,sa_iters,eps,lr
0,15,30.109133541031763,-6.390866458968237,[10 12  8 16 16  4  2  6 22 20],SA,pd,10,30,10,0.95,10000,59.326263666152954,5000,-1,50,0.05,0.1
0,30,30.109133541031763,-6.390866458968237,[10 12  8 16 16  4  2  6 22 20],SA,pd,10,30,10,0.95,10000,59.36526846885681,5000,-1,50,0.05,0.1
0,45,30.109133541031763,-6.390866458968237,[10 12  8 16 16  4  2  6 22 20],SA,pd,10,30,10,0.95,10000,59.3543496131897,5000,-1,50,0.05,0.1
0,60,30.109133541031763,-6.390866458968237,[20 25 13 19  4  2 28 14  9 13],SA,pd,10,30,10,0.95,10000,59.08812713623047,5000,-1,50,0.05,0.1
0,75,30.109133541031763,-6.390866458968237,[20 25 13 19  4  2 28 14  9 13],SA,pd,10,30,10,0.95,10000,59.25058174133301,5000,-1,50,0.05,0.1
0,90,30.109133541031763,-6.390866458968237,[20 25 13 19  4  2 28 14  9 13],SA,pd,10,30,10,0.95,10000,58.80838584899902,5000,-1,50,0.05,0.1
0,105,30.109133541031763,-6.390866458968237,[20 25 13 19  4  2 28 14  9 13],SA,pd,10,30,10,0.95,10000,59.030601024627686,5000,-1,50,0.05,0.1
0,120,30.613090187801596,-5.886909812198404,[29 19  0  3 15 17 22  2  4 22],SA,pd,10,30,10,0.95,10000,58.83506202697754,5000,-1,50,0.05,0.1
0,135,30.613090187801596,-5.886909812198404,[29 19  0  3 15 17 22  2  4 22],SA,pd,10,30,10,0.95,10000,58.704160928726196,5000,-1,50,0.05,0.1
0,150,30.992038913175453,-5.507961086824547,[ 6 19 12 13 14 16 20 11 14 17],SA,pd,10,30,10,0.95,10000,58.724916219711304,5000,-1,50,0.05,0.1
0,165,30.992038913175453,-5.507961086824547,[ 6 19 12 13 14 16 20 11 14 17],SA,pd,10,30,10,0.95,10000,58.731303453445435,5000,-1,50,0.05,0.1
0,180,31.54227058046104,-4.9577294195389605,[15 19 20 24  6 14 23 11  4 17],SA,pd,10,30,10,0.95,10000,58.753320932388306,5000,-1,50,0.05,0.1
0,195,31.996756639998196,-4.503243360001804,[15  4 22 24 25 11  4 28  5 28],SA,pd,10,30,10,0.95,10000,58.72645401954651,5000,-1,50,0.05,0.1
0,210,31.996756639998196,-4.503243360001804,[15  4 22 24 25 11  4 28  5 28],SA,pd,10,30,10,0.95,10000,58.566176891326904,5000,-1,50,0.05,0.1
0,225,31.996756639998196,-4.503243360001804,[27  9 15  4 20 18 20 13 16 28],SA,pd,10,30,10,0.95,10000,58.56911873817444,5000,-1,50,0.05,0.1
0,240,31.996756639998196,-4.503243360001804,[16  5 15  1  4 24  0  4  9  6],SA,pd,10,30,10,0.95,10000,58.42550277709961,5000,-1,50,0.05,0.1
0,255,33.369046504458034,-3.1309534955419664,[ 9  4 26  3  6 24 14 29  5  8],SA,pd,10,30,10,0.95,10000,58.46691298484802,5000,-1,50,0.05,0.1
0,270,33.369046504458034,-3.1309534955419664,[ 9  4 26  3  6 24 14 29  5  8],SA,pd,10,30,10,0.95,10000,58.636141777038574,5000,-1,50,0.05,0.1
0,285,33.369046504458034,-3.1309534955419664,[ 9  4 26  3  6 24 14 29  5  8],SA,pd,10,30,10,0.95,10000,58.603145360946655,5000,-1,50,0.05,0.1
0,300,33.369046504458034,-3.1309534955419664,[ 9  4 26  3  6 24 14 29  5  8],SA,pd,10,30,10,0.95,10000,58.53437662124634,5000,-1,50,0.05,0.1
